respondent_ID,year,age,race,sex,educ,degree,padeg,madeg,vetyears,dwelling,dwelown,relig,famgen,zodiac,wrkslf,wrkgovt,marital,sibs,childs,agekdbrn,res16,reg16,parborn,partyid,vote12,pres12,wordsum,voted_16,party_id3
200,2018,48,white,female,14,high school,bachelor,high school,none,detached 1-fam house,own or is buying,christian,"2 gens, children",virgo,self-employed,NA,married,4,3,23,town lt 50000,pacific,both in u.s,not str republican,voted,romney,8,voted,republican
1900,2018,54,black,male,12,high school,lt high school,high school,none,apartment house,pays rent,protestant,1 gen,gemini,someone else,private,never married,4,0,NA,big-city suburb,w. sou. central,both in u.s,not str democrat,did not vote,NA,2,voted,democrat
231,2018,51,other,female,15,high school,NA,lt high school,none,trailer,NA,protestant,1 gen,gemini,self-employed,private,divorced,7,1,25,city gt 250000,foreign,neither in u.s,"ind,near rep",ineligible,NA,NA,did not vote,independent
599,2018,53,black,female,19,graduate,lt high school,junior college,none,detached 1-fam house,own or is buying,none,1 gen,libra,someone else,government,married,4,1,30,city gt 250000,w. sou. central,both in u.s,strong democrat,voted,obama,8,voted,democrat
864,2018,27,white,female,16,bachelor,junior college,high school,none,detached 1-fam house,NA,none,"2 gens, children",virgo,someone else,private,never married,6,0,NA,big-city suburb,mountain,both in u.s,strong republican,did not vote,NA,NA,did not vote,republican
966,2018,45,white,male,14,high school,bachelor,high school,none,detached 1-fam house,own or is buying,christian,"2 gens, children",pisces,someone else,private,married,2,1,23,city gt 250000,south atlantic,both in u.s,strong republican,voted,obama,7,voted,republican
205,2018,43,other,male,16,graduate,lt high school,lt high school,none,detached 1-fam house,NA,protestant,"2 gens, children",sagittarius,self-employed,NA,married,1,2,34,city gt 250000,foreign,neither in u.s,independent,did not vote,NA,NA,did not vote,independent
1119,2018,30,black,female,12,high school,high school,high school,none,row house,pays rent,none,"2 gens, children",scorpio,someone else,private,never married,6,1,25,city gt 250000,e. nor. central,both in u.s,other party,voted,obama,6,voted,other party
583,2018,44,other,female,12,high school,high school,high school,none,row house,NA,buddhism,"2 gens, children",NA,someone else,private,divorced,2,1,37,city gt 250000,foreign,neither in u.s,"ind,near dem",ineligible,NA,NA,did not vote,independent
1677,2018,34,white,female,12,high school,high school,high school,none,detached 1-fam house,pays rent,christian,"2 gens, children",virgo,someone else,private,married,2,1,23,town lt 50000,middle atlantic,both in u.s,not str republican,voted,obama,5,did not vote,republican
873,2018,52,white,female,16,bachelor,NA,bachelor,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",aquarius,someone else,government,married,2,4,28,big-city suburb,mountain,both in u.s,strong republican,voted,romney,7,voted,republican
1376,2018,29,white,female,14,high school,high school,high school,none,detached 1-fam house,own or is buying,NA,1 gen,sagittarius,someone else,private,divorced,2,1,22,"country,nonfarm",south atlantic,both in u.s,strong republican,voted,obama,6,voted,republican
1350,2018,34,white,female,13,high school,NA,high school,none,detached 1-fam house,pays rent,protestant,1 gen,libra,someone else,private,never married,2,0,NA,town lt 50000,south atlantic,both in u.s,"ind,near rep",voted,obama,6,did not vote,independent
140,2018,25,white,female,15,high school,lt high school,lt high school,none,detached 1-fam house,own or is buying,none,1 gen,pisces,someone else,government,never married,4,0,NA,town lt 50000,pacific,neither in u.s,"ind,near rep",did not vote,NA,3,did not vote,independent
1692,2018,78,white,male,15,high school,lt high school,lt high school,2 to 4  years,detached 1-fam house,own or is buying,catholic,"2 gens, parents",capricorn,someone else,private,married,4,0,NA,50000 to 250000,e. nor. central,both in u.s,not str democrat,voted,romney,4,voted,democrat
1049,2018,69,black,male,11,lt high school,lt high school,lt high school,none,detached 1-fam house,NA,protestant,1 gen,sagittarius,someone else,private,widowed,7,0,NA,town lt 50000,south atlantic,both in u.s,not str democrat,voted,obama,NA,voted,democrat
177,2018,42,white,female,18,graduate,graduate,high school,none,detached 1-fam house,own or is buying,jewish,"2 gens, children",leo,self-employed,private,married,1,3,27,big-city suburb,e. nor. central,both in u.s,strong democrat,voted,obama,7,voted,democrat
718,2018,45,white,male,18,graduate,graduate,junior college,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",NA,someone else,private,married,2,1,34,50000 to 250000,e. nor. central,both in u.s,independent,voted,romney,6,voted,independent
1208,2018,33,white,male,12,high school,high school,NA,none,apartment-4 stories,pays rent,none,1 gen,aquarius,someone else,private,never married,8,0,NA,50000 to 250000,mountain,both in u.s,independent,did not vote,NA,3,did not vote,independent
185,2018,46,other,male,16,bachelor,high school,lt high school,none,apartment-4 stories,pays rent,none,1 gen,cancer,someone else,private,divorced,1,1,32,city gt 250000,foreign,neither in u.s,"ind,near dem",did not vote,NA,5,did not vote,independent
360,2018,70,white,male,12,high school,high school,high school,2 to 4  years,detached 1-fam house,NA,protestant,1 gen,cancer,someone else,private,separated,2,0,NA,50000 to 250000,south atlantic,both in u.s,"ind,near rep",voted,obama,NA,voted,independent
925,2018,58,white,male,16,bachelor,high school,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,cancer,someone else,private,widowed,2,2,20,town lt 50000,w. nor. central,both in u.s,strong democrat,voted,obama,7,voted,democrat
648,2018,25,white,male,11,lt high school,NA,lt high school,none,apartment house,own or is buying,none,"2 gens, children",gemini,someone else,private,married,10,2,23,town lt 50000,foreign,neither in u.s,independent,ineligible,NA,3,did not vote,independent
2246,2018,60,white,female,12,high school,NA,high school,none,detached 1-fam house,NA,protestant,1 gen,aquarius,someone else,private,married,2,2,18,"country,nonfarm",e. nor. central,both in u.s,strong republican,voted,romney,NA,voted,republican
675,2018,38,white,female,14,junior college,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",aries,someone else,government,married,3,2,28,town lt 50000,south atlantic,both in u.s,strong republican,voted,romney,7,voted,republican
2151,2018,46,white,male,8,lt high school,high school,lt high school,none,trailer,own or is buying,none,"2 gens, children",cancer,someone else,private,divorced,4,5,19,50000 to 250000,south atlantic,both in u.s,independent,voted,obama,5,voted,independent
1488,2018,72,white,female,16,bachelor,high school,high school,none,detached 1-fam house,NA,catholic,1 gen,scorpio,someone else,private,married,3,3,28,town lt 50000,middle atlantic,both in u.s,strong republican,voted,romney,NA,voted,republican
1623,2018,35,white,female,16,bachelor,graduate,graduate,none,detached 1-fam house,pays rent,catholic,1 gen,capricorn,someone else,private,married,3,1,31,big-city suburb,e. sou. central,both in u.s,not str democrat,voted,obama,10,voted,democrat
1747,2018,63,black,male,11,lt high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",leo,someone else,government,never married,13,6,18,town lt 50000,e. nor. central,both in u.s,strong democrat,voted,obama,4,voted,democrat
1207,2018,31,white,female,14,high school,lt high school,lt high school,none,apartment house,NA,catholic,"2 gens, children",pisces,someone else,private,divorced,5,1,22,50000 to 250000,foreign,neither in u.s,independent,ineligible,NA,NA,did not vote,independent
1209,2018,69,white,male,12,high school,high school,high school,more than 4 yrs,apartment-4 stories,pays rent,protestant,1 gen,aquarius,someone else,private,divorced,0,2,32,"country,nonfarm",mountain,both in u.s,not str republican,did not vote,NA,3,did not vote,republican
753,2018,61,white,male,10,lt high school,NA,NA,none,apartment house,pays rent,protestant,1 gen,capricorn,someone else,private,never married,1,0,NA,town lt 50000,e. nor. central,both in u.s,"ind,near dem",did not vote,NA,1,voted,independent
611,2018,51,other,male,5,lt high school,lt high school,lt high school,none,detached 1-fam house,pays rent,catholic,"2 gens, parents",leo,someone else,private,married,4,6,18,town lt 50000,foreign,neither in u.s,strong republican,did not vote,NA,2,did not vote,republican
1349,2018,50,white,female,18,graduate,high school,NA,none,detached 1-fam house,NA,catholic,1 gen,taurus,someone else,government,married,2,3,18,50000 to 250000,south atlantic,both in u.s,independent,voted,obama,NA,voted,independent
882,2018,42,white,female,16,bachelor,bachelor,bachelor,none,detached 1-fam house,own or is buying,protestant,"2 gens, children",pisces,someone else,private,married,2,2,30,town lt 50000,e. nor. central,both in u.s,not str republican,voted,obama,6,voted,republican
1674,2018,69,white,male,19,graduate,lt high school,lt high school,none,detached 1-fam house,NA,catholic,1 gen,capricorn,someone else,private,divorced,1,1,30,town lt 50000,w. sou. central,both in u.s,strong republican,voted,romney,NA,voted,republican
1546,2018,58,white,female,12,high school,high school,high school,none,detached 1-fam house,own or is buying,protestant,1 gen,capricorn,someone else,government,married,3,2,22,farm,e. sou. central,both in u.s,strong republican,voted,romney,5,voted,republican
2209,2018,40,white,female,16,junior college,bachelor,bachelor,none,detached 1-fam house,own or is buying,protestant,1 gen,pisces,someone else,private,married,1,0,NA,50000 to 250000,south atlantic,both in u.s,independent,voted,obama,8,voted,independent
233,2018,44,black,male,17,bachelor,graduate,bachelor,none,detached 1-fam house,NA,catholic,"2 gens, children",NA,someone else,private,married,5,3,29,city gt 250000,foreign,neither in u.s,independent,voted,obama,NA,voted,independent
42,2018,52,white,male,12,high school,NA,lt high school,none,detached 1-fam house,own or is buying,catholic,1 gen,libra,someone else,private,never married,1,0,NA,town lt 50000,middle atlantic,both in u.s,not str democrat,did not vote,NA,5,did not vote,democrat
1901,2018,49,other,male,11,lt high school,lt high school,lt high school,none,apartment house,pays rent,catholic,"2 gens, children",scorpio,someone else,private,married,2,3,22,town lt 50000,w. sou. central,both in u.s,not str republican,did not vote,NA,3,voted,republican
2233,2018,47,white,female,17,bachelor,lt high school,lt high school,none,trailer,own or is buying,protestant,"2 gens, children",virgo,someone else,private,divorced,2,1,29,town lt 50000,e. nor. central,both in u.s,independent,voted,NA,3,voted,independent
147,2018,34,black,male,12,high school,NA,bachelor,none,apartment house,pays rent,protestant,1 gen,pisces,someone else,private,never married,5,0,NA,50000 to 250000,pacific,both in u.s,not str democrat,did not vote,NA,4,did not vote,democrat
1883,2018,54,white,female,12,high school,lt high school,lt high school,none,trailer,own or is buying,catholic,1 gen,libra,someone else,government,married,7,3,21,farm,foreign,neither in u.s,"ind,near rep",did not vote,NA,1,did not vote,independent
2250,2018,56,white,female,14,junior college,NA,lt high school,none,detached 1-fam house,own or is buying,protestant,1 gen,gemini,someone else,government,divorced,5,2,20,town lt 50000,e. nor. central,both in u.s,strong democrat,did not vote,NA,4,voted,democrat
1848,2018,64,white,female,12,high school,bachelor,NA,none,detached 1-fam house,own or is buying,catholic,"2 gens, children",scorpio,someone else,government,divorced,4,2,42,town lt 50000,w. sou. central,both in u.s,not str republican,voted,romney,6,voted,republican
1814,2018,50,other,female,16,bachelor,graduate,graduate,none,apartment house,pays rent,protestant,1 gen,cancer,someone else,private,divorced,2,2,23,town lt 50000,w. nor. central,both in u.s,"ind,near rep",voted,NA,7,voted,independent
1970,2018,60,other,female,16,bachelor,lt high school,lt high school,none,detached 1-fam house,NA,catholic,1 gen,NA,someone else,government,never married,8,0,NA,"country,nonfarm",pacific,mother only,other party,voted,NA,NA,voted,other party
1905,2018,45,other,female,4,lt high school,lt high school,lt high school,none,detached 1-fam house,pays rent,protestant,"2 gens, children",taurus,someone else,private,widowed,5,3,18,town lt 50000,foreign,neither in u.s,independent,did not vote,NA,7,did not vote,independent
1796,2018,36,white,male,16,bachelor,high school,junior college,none,detached 1-fam house,NA,protestant,"2 gens, children",gemini,someone else,private,married,2,3,29,town lt 50000,w. nor. central,both in u.s,strong republican,voted,romney,NA,voted,republican
870,2018,29,white,female,15,high school,NA,high school,none,apartment house,pays rent,protestant,"2 gens, children",scorpio,someone else,private,married,6,2,23,city gt 250000,mountain,both in u.s,not str democrat,voted,obama,7,voted,democrat
169,2018,46,white,male,18,junior college,junior college,junior college,none,apartment house,NA,none,1 gen,gemini,someone else,private,never married,1,0,NA,50000 to 250000,pacific,neither in u.s,not str democrat,voted,obama,NA,did not vote,democrat
933,2018,70,white,male,19,graduate,high school,bachelor,2 to 4  years,detached 1-fam house,own or is buying,protestant,1 gen,cancer,someone else,private,married,1,2,25,"country,nonfarm",south atlantic,both in u.s,not str republican,voted,romney,8,voted,republican
705,2018,46,white,female,14,junior college,NA,lt high school,none,detached 1-fam house,NA,protestant,1 gen,taurus,self-employed,private,married,1,1,29,city gt 250000,south atlantic,neither in u.s,not str republican,voted,romney,NA,voted,republican
1071,2018,40,white,male,13,high school,high school,lt high school,none,detached 1-fam house,own or is buying,catholic,"3 gens, grandchldrn",pisces,someone else,private,never married,1,1,30,farm,e. nor. central,both in u.s,strong republican,voted,romney,5,voted,republican
653,2018,29,black,female,19,graduate,high school,junior college,none,detached 1-fam house,own or is buying,none,1 gen,sagittarius,someone else,private,never married,4,0,NA,big-city suburb,south atlantic,neither in u.s,not str democrat,voted,obama,7,voted,democrat
1228,2018,25,white,female,13,high school,high school,high school,none,detached 1-fam house,pays rent,protestant,1 gen,sagittarius,someone else,private,never married,7,0,NA,farm,e. sou. central,both in u.s,"ind,near rep",did not vote,NA,5,did not vote,independent
480,2018,31,white,male,13,high school,high school,bachelor,none,detached 1-fam house,NA,none,"2 gens, children",virgo,someone else,private,never married,4,0,NA,big-city suburb,w. sou. central,both in u.s,"ind,near dem",did not vote,NA,NA,did not vote,independent
2136,2018,55,white,female,12,high school,bachelor,lt high school,less than 2 yrs,detached 1-fam house,pays rent,protestant,1 gen,aries,someone else,private,married,2,2,20,"country,nonfarm",middle atlantic,both in u.s,not str democrat,did not vote,NA,9,did not vote,democrat
337,2018,26,white,female,16,graduate,bachelor,bachelor,none,apartment-4 stories,pays rent,protestant,1 gen,gemini,someone else,government,never married,1,0,NA,city gt 250000,south atlantic,both in u.s,not str republican,ineligible,NA,9,voted,republican
921,2018,69,white,female,20,bachelor,lt high school,lt high school,none,detached 1-fam house,NA,protestant,1 gen,libra,someone else,government,widowed,6,3,20,farm,w. nor. central,both in u.s,other party,did not vote,NA,NA,did not vote,other party
